date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:13	71/71	---MCZ	200	added ('OK')	text/plain	etag:W/%22654bd1c5-37%22	https://eldni.com/robots.txt		(from )
12:23:13	14795/14795	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2017:23:13%20GMT	https://eldni.com/	C:/My%20Web%20Sites/Copia/eldni.com/index.html	(from )
12:23:14	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2265430242-3c2e%22	https://eldni.com/favicon.ico	C:/My%20Web%20Sites/Copia/eldni.com/favicon.ico	(from https://eldni.com/)
12:23:14	44806/44806	---MCZ	200	added ('OK')	text/css	etag:W/%2265430242-af06%22	https://eldni.com/2020/amp-spectre/spectre.min.css?v=25	C:/My%20Web%20Sites/Copia/eldni.com/2020/amp-spectre/spectre.min4290.css	(from https://eldni.com/)
12:23:14	3629/3629	---MCZ	200	added ('OK')	text/css	etag:W/%22654bde7c-15bd%22	https://eldni.com/2020/css/add-css.css?v=25	C:/My%20Web%20Sites/Copia/eldni.com/2020/css/add-css4290.css	(from https://eldni.com/)
12:23:14	99251/99251	---M--	200	added ('OK')	text/javascript	etag:433%20/%2019772%20/%20m202402130101%20/%20config-hash:%2011148296534494914191	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/My%20Web%20Sites/Copia/securepubads.g.doubleclick.net/tag/js/f.txt	(from https://eldni.com/)
12:23:15	2805/2805	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265430242-af5%22	https://eldni.com/2020/img/el-dni-logo.svg	C:/My%20Web%20Sites/Copia/eldni.com/2020/img/el-dni-logo.svg	(from https://eldni.com/)
12:23:15	9872/9872	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2017:23:14%20GMT	https://eldni.com/pe/buscar-datos-por-dni	C:/My%20Web%20Sites/Copia/eldni.com/pe/buscar-datos-por-dni.html	(from https://eldni.com/)
12:23:15	12883/12883	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2017:23:15%20GMT	https://eldni.com/pe/buscar-por-nombres	C:/My%20Web%20Sites/Copia/eldni.com/pe/buscar-por-nombres.html	(from https://eldni.com/)
12:23:15	362/362	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265430242-16a%22	https://eldni.com/2020/img/forward.svg	C:/My%20Web%20Sites/Copia/eldni.com/2020/img/forward.svg	(from https://eldni.com/)
12:23:15	4104/4104	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265430242-1008%22	https://eldni.com/2020/img/dni-to-name.svg	C:/My%20Web%20Sites/Copia/eldni.com/2020/img/dni-to-name.svg	(from https://eldni.com/)
12:23:16	4111/4111	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265430242-100f%22	https://eldni.com/2020/img/name-to-dni.svg	C:/My%20Web%20Sites/Copia/eldni.com/2020/img/name-to-dni.svg	(from https://eldni.com/)
12:23:17	9039/9039	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2017:23:16%20GMT	https://eldni.com/pe/buscar-por-dni	C:/My%20Web%20Sites/Copia/eldni.com/pe/buscar-por-dni.html	(from https://eldni.com/pe/buscar-datos-por-dni)
12:23:18	9298/9298	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2017:23:17%20GMT	https://eldni.com/pe/obtener-digito-verificador-del-dni	C:/My%20Web%20Sites/Copia/eldni.com/pe/obtener-digito-verificador-del-dni.html	(from https://eldni.com/pe/buscar-datos-por-dni)
12:23:18	9531/9531	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2017:23:17%20GMT	https://eldni.com/pe/consultar-ruc-10-por-dni	C:/My%20Web%20Sites/Copia/eldni.com/pe/consultar-ruc-10-por-dni.html	(from https://eldni.com/pe/buscar-datos-por-dni)
12:23:19	9219/9219	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2017:23:18%20GMT	https://eldni.com/pe/buscar-nombres-por-ruc-10	C:/My%20Web%20Sites/Copia/eldni.com/pe/buscar-nombres-por-ruc-10.html	(from https://eldni.com/pe/buscar-datos-por-dni)
12:23:24	180640/180640	---M--	200	added ('OK')	text/javascript	etag:6276037056577894364	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/Copia/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://eldni.com/)
