date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:43	13072/13072	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Feb%202024%2014:46:43%20GMT	https://el-dni.com/	C:/My%20Web%20Sites/paginadni/el-dni.com/index.html	(from )
09:46:43	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Mar%202022%2021:44:39%20GMT	https://el-dni.com/robots.txt		(from )
09:46:44	6034/6034	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Jan%202024%2017:18:52%20GMT	https://el-dni.com/images/icono-dni.png	C:/My%20Web%20Sites/paginadni/el-dni.com/images/icono-dni.png	(from https://el-dni.com/)
09:46:44	9650/9650	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202023%2018:22:22%20GMT	https://el-dni.com/css/style.css	C:/My%20Web%20Sites/paginadni/el-dni.com/css/style.css	(from https://el-dni.com/)
09:46:44	2244/2244	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Oct%202019%2018:57:32%20GMT	https://el-dni.com/css/responsive.css	C:/My%20Web%20Sites/paginadni/el-dni.com/css/responsive.css	(from https://el-dni.com/)
09:46:44	192348/192348	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2004:17:50%20GMT	https://el-dni.com/css/bootstrap.css	C:/My%20Web%20Sites/paginadni/el-dni.com/css/bootstrap.css	(from https://el-dni.com/)
09:46:44	13072/13072	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Feb%202024%2014:46:44%20GMT	https://el-dni.com/index.php	C:/My%20Web%20Sites/paginadni/el-dni.com/index-2.html	(from https://el-dni.com/)
09:46:45	10044/10044	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2018:20:14%20GMT	https://el-dni.com/images/buscar-personas-dni.png	C:/My%20Web%20Sites/paginadni/el-dni.com/images/buscar-personas-dni.png	(from https://el-dni.com/)
09:46:45	14239/14239	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Feb%202024%2014:46:45%20GMT	https://el-dni.com/buscar-dni-por-nombre.php	C:/My%20Web%20Sites/paginadni/el-dni.com/buscar-dni-por-nombre.html	(from https://el-dni.com/)
09:46:45	13294/13294	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Feb%202024%2014:46:45%20GMT	https://el-dni.com/buscar-cumpleanios-por-nombres.php	C:/My%20Web%20Sites/paginadni/el-dni.com/buscar-cumpleanios-por-nombres.html	(from https://el-dni.com/)
09:46:45	30846/30846	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Oct%202019%2000:45:42%20GMT	https://el-dni.com/images/client.jpg	C:/My%20Web%20Sites/paginadni/el-dni.com/images/client.jpg	(from https://el-dni.com/)
09:46:46	1508/1508	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Sep%202019%2019:35:52%20GMT	https://el-dni.com/images/search-icon.png	C:/My%20Web%20Sites/paginadni/el-dni.com/images/search-icon.png	(from https://el-dni.com/)
09:46:46	87533/87533	---M--	200	added ('OK')	application/javascript	date:Sat,%2011%20Nov%202023%2007:31:58%20GMT	https://el-dni.com/js/jquery-3.4.1.min.js	C:/My%20Web%20Sites/paginadni/el-dni.com/js/jquery-3.4.1.min.js	(from https://el-dni.com/)
09:46:46	136796/136796	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Dec%202019%2001:24:58%20GMT	https://el-dni.com/js/bootstrap.js	C:/My%20Web%20Sites/paginadni/el-dni.com/js/bootstrap.js	(from https://el-dni.com/)
09:46:47	21499/21499	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2002:37:42%20GMT	https://el-dni.com/images/menu.png	C:/My%20Web%20Sites/paginadni/el-dni.com/images/menu.png	(from https://el-dni.com/css/style.css)
09:46:47	80744/80744	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Sep%202019%2020:07:42%20GMT	https://el-dni.com/images/hero.jpg	C:/My%20Web%20Sites/paginadni/el-dni.com/images/hero.jpg	(from https://el-dni.com/css/style.css)
09:46:47	14744/14744	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Sep%202019%2021:55:06%20GMT	https://el-dni.com/images/about-bg.png	C:/My%20Web%20Sites/paginadni/el-dni.com/images/about-bg.png	(from https://el-dni.com/css/style.css)
09:46:47	723/723	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Sep%202019%2002:06:18%20GMT	https://el-dni.com/images/location-white.png	C:/My%20Web%20Sites/paginadni/el-dni.com/images/location-white.png	(from https://el-dni.com/css/style.css)
09:46:47	822/822	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Sep%202019%2002:06:54%20GMT	https://el-dni.com/images/telephone-white.png	C:/My%20Web%20Sites/paginadni/el-dni.com/images/telephone-white.png	(from https://el-dni.com/css/style.css)
09:46:48	476/476	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Sep%202019%2002:07:22%20GMT	https://el-dni.com/images/envelope-white.png	C:/My%20Web%20Sites/paginadni/el-dni.com/images/envelope-white.png	(from https://el-dni.com/css/style.css)
